code;Relev;r1;r2;r3;r4;r5;r6;r7;Function;f1;f2;f3;f4
1;409;108;74;58;66;44;40;15;270;138;48;40;44
2;377;98;75;52;56;44;31;18;311;144;70;42;55
3;440;128;86;56;57;47;32;31;301;141;67;42;51
4;281;63;61;41;40;28;25;22;306;154;57;43;52
5;296;75;51;43;45;35;25;19;307;157;54;44;52
6;390;105;84;57;55;48;23;16;287;143;55;44;45
7;310;85;41;59;48;28;34;12;301;148;50;36;67
8;342;92;62;50;44;43;34;14;305;143;59;44;59
9;342;92;62;50;44;43;34;14;305;143;59;44;59
10;383;110;59;50;67;35;37;24;284;136;57;39;52
11;405;110;77;57;55;44;32;27;308;152;64;38;54
12;369;91;82;49;50;41;23;30;263;135;57;30;41
13;353;83;78;51;51;43;26;17;307;140;69;44;54
14;372;98;73;58;53;45;24;18;326;152;68;46;60
15;426;118;90;57;66;47;24;22;311;154;61;46;50
16;374;104;71;57;52;43;28;16;308;148;64;41;55
17;419;110;83;56;69;45;31;23;285;140;65;40;40
18;395;108;77;62;59;42;26;18;293;142;58;43;50
19;433;103;85;71;71;46;36;18;308;145;67;44;52
20;436;118;89;66;65;52;28;15;306;137;68;43;58
21;293;78;65;36;42;37;19;15;230;114;51;28;37
22;442;124;81;61;62;50;34;25;292;138;66;38;50
23;359;93;68;43;63;40;31;16;273;128;62;38;45
