Code;SSPG;SSP1;SSP2;SSP3;SSP4;SSP5;SSP6;SSP7;RowSSP;Relev;Function;LiveG;Live1;Live2;Live3;fulfam;parents;children;age;SSP;
1;2;0;0;0;2;1;2;2;90;407;316;0;0;1;0;1;1;1;;0;norm
2;2;2;2;0;2;2;2;0;88;337;274;0;1;0;0;1;0;1;5;1;probably 
3;0;0;1;0;0;0;0;0;173;361;266;0;1;0;0;0;1;1;4;2;diffinetly 
4;2;2;2;2;2;2;2;1;90;434;326;0;1;0;0;1;0;1;6;;
5;2;2;1;0;2;2;2;0;111;407;305;1;1;0;0;1;0;1;4;Live;
6;2;1;2;2;2;2;2;2;100;313;309;1;1;0;0;1;1;1;;0;norm
7;2;2;2;1;2;2;2;2;86;424;315;0;1;0;0;1;0;1;11;1;
8;2;1;2;0;1;1;2;1;129;410;327;0;1;0;0;1;0;1;4;;
9;2;2;2;1;2;1;0;2;111;368;297;0;1;0;0;1;0;4;5;;
10;2;2;2;2;2;1;2;0;98;420;308;0;0;0;0;1;0;2;9;;
11;2;0;1;0;0;0;2;0;141;386;273;0;0;0;0;0;1;1;9;;
12;2;0;0;2;2;2;2;0;131;400;323;0;1;0;0;1;0;3;6;;
13;2;0;1;1;2;1;1;1;135;371;282;1;1;1;0;1;0;2;5;;
14;2;2;2;2;2;2;2;2;50;294;275;0;1;0;0;1;0;2;;;
15;2;0;0;2;2;0;2;1;128;276;301;0;1;0;0;1;0;1;;;
16;2;2;2;2;2;2;2;2;97;355;276;1;1;1;0;1;0;1;;;
17;2;2;2;1;0;0;2;1;117;402;298;0;1;0;0;1;0;2;;;
18;2;2;2;2;2;2;2;2;74;372;310;0;1;0;0;1;0;2;;;
19;2;2;2;2;2;2;2;0;90;378;290;0;1;0;0;1;0;3;6;;
20;2;0;0;0;2;2;2;2;110;378;290;0;1;0;0;1;0;3;6;;
21;2;2;0;2;2;2;2;2;62;423;301;0;1;0;0;1;0;1;;;
22;0;1;0;0;0;1;0;0;170;384;323;0;0;0;0;1;0;2;;;
23;2;2;0;0;1;2;2;1;137;316;301;0;0;0;0;1;1;1;;;
24;2;2;2;2;2;0;2;2;120;347;334;0;1;0;0;1;0;1;;;
25;2;2;2;2;2;2;2;2;103;261;321;0;1;0;1;0;0;1;6;;
26;2;2;2;0;0;2;2;1;105;420;245;0;0;0;0;1;1;1;4;;
27;2;2;2;0;0;2;2;1;;402;339;0;0;0;0;1;1;1;4;;
28;2;1;2;0;0;2;2;1;105;411;284;0;0;0;0;1;0;2;10;;
29;2;0;2;1;2;1;0;0;141;395;315;0;1;0;0;0;0;1;;;
30;2;2;2;1;2;2;2;2;86;395;307;0;1;0;0;1;0;2;6;;
