Code;SSPG;SSP1;SSP2;SSP3;SSP4;SSP5;SSP6;SSP7;RowSSP;Relev;r1;r2;r3;r4;r5;r6;r7;Function;f1;f2;f3;f4;LiveG;Live1;Live2;Live3;fulfam;parents;children;age;SSP;
1;2;0;0;0;2;1;2;2;90;407;86;64;58;62;29;24;25;316;149;74;44;49;0;0;1;0;1;1;1;;0;norm
2;2;2;2;0;2;2;2;0;88;337;84;62;51;53;38;30;27;274;121;64;43;46;0;1;0;0;1;0;1;5;1;probably 
3;0;0;1;0;0;0;0;0;173;361;78;56;52;55;27;30;20;266;133;49;33;51;0;1;0;0;0;1;1;4;2;diffinetly 
4;2;2;2;2;2;2;2;1;90;434;97;63;64;67;31;34;22;326;139;77;48;62;0;1;0;0;1;0;1;6;;
5;2;2;1;0;2;2;2;0;111;407;89;68;57;63;28;33;21;305;138;64;42;61;1;1;0;0;1;0;1;4;Live;
6;2;1;2;2;2;2;2;2;100;313;80;58;47;48;30;32;16;309;159;60;45;45;1;1;0;0;1;1;1;;0;norm
7;2;2;2;1;2;2;2;2;86;424;99;62;60;65;29;38;26;315;150;69;45;51;0;1;0;0;1;0;1;11;1;
8;2;1;2;0;1;1;2;1;129;410;93;64;61;66;28;36;23;327;156;72;43;56;0;1;0;0;1;0;1;4;;
9;2;2;2;1;2;1;0;2;111;368;93;67;58;51;33;36;21;297;139;63;43;52;0;1;0;0;1;0;4;5;;
10;2;2;2;2;2;1;2;0;98;420;99;66;64;61;27;41;23;308;139;70;42;57;0;0;0;0;1;0;2;9;;
11;2;0;1;0;0;0;2;0;141;386;85;65;57;60;28;36;21;273;129;63;38;43;0;0;0;0;0;1;1;9;;
12;2;0;0;2;2;2;2;0;131;400;91;65;59;64;26;38;26;323;161;64;45;53;0;1;0;0;1;0;3;6;;
13;2;0;1;1;2;1;1;1;135;371;79;64;53;59;30;38;12;282;130;60;45;47;1;1;1;0;1;0;2;5;;
14;2;2;2;2;2;2;2;2;50;294;85;54;46;43;36;35;22;275;115;67;34;59;0;1;0;0;1;0;2;;;
15;2;0;0;2;2;0;2;1;128;276;75;43;40;41;40;39;16;301;151;68;35;47;0;1;0;0;1;0;1;;;
16;2;2;2;2;2;2;2;2;97;355;80;55;55;51;33;42;20;276;129;59;41;47;1;1;1;0;1;0;1;;;
17;2;2;2;1;0;0;2;1;117;402;94;69;64;53;25;45;21;298;158;59;39;42;0;1;0;0;1;0;2;;;
18;2;2;2;2;2;2;2;2;74;372;100;67;57;55;35;46;24;310;149;62;45;54;0;1;0;0;1;0;2;;;
19;2;2;2;2;2;2;2;0;90;378;97;67;59;58;28;42;23;290;134;65;47;44;0;1;0;0;1;0;3;6;;
20;2;0;0;0;2;2;2;2;110;378;97;67;59;58;28;43;23;290;134;65;47;44;0;1;0;0;1;0;3;6;;
21;2;2;0;2;2;2;2;2;62;423;95;68;63;61;30;49;27;301;154;57;42;48;0;1;0;0;1;0;1;;;
22;0;1;0;0;0;1;0;0;170;384;84;57;56;58;29;46;14;323;164;70;41;48;0;0;0;0;1;0;2;;;
23;2;2;0;0;1;2;2;1;137;316;85;50;54;47;36;48;18;301;146;68;47;40;0;0;0;0;1;1;1;;;
24;2;2;2;2;2;0;2;2;120;347;77;61;51;56;34;50;24;334;159;61;48;66;0;1;0;0;1;0;1;;;
25;2;2;2;2;2;2;2;2;103;261;68;46;34;38;33;47;14;321;153;66;40;62;0;1;0;1;0;0;1;6;;
26;2;2;2;0;0;2;2;1;105;420;93;63;65;58;26;54;28;245;115;49;32;49;0;0;0;0;1;1;1;4;;
27;2;2;2;0;0;2;2;1;;402;86;61;62;64;32;52;22;339;158;70;47;64;0;0;0;0;1;1;1;4;;
28;2;1;2;0;0;2;2;1;105;411;89;67;60;64;29;56;23;284;144;63;40;37;0;0;0;0;1;0;2;10;;
29;2;0;2;1;2;1;0;0;141;395;77;53;57;55;27;56;16;315;146;65;46;58;0;1;0;0;0;0;1;;;
30;2;2;2;1;2;2;2;2;86;395;96;69;58;61;28;57;19;307;146;66;41;54;0;1;0;0;1;0;2;6;;
